,Right Mass,,Left Mass,
t,x,y,x,y
8.871,-5.41E-02,-1.86E-03,-6.74E-02,-1.13E-03
8.922,-6.77E-02,-1.09E-03,-7.33E-02,-1.05E-03
8.972,-7.92E-02,-2.91E-04,-7.71E-02,-2.14E-04
9.023,-8.95E-02,5.39E-04,-7.93E-02,-3.18E-04
9.073,-9.80E-02,1.48E-03,-7.97E-02,-1.79E-04
9.123,-0.104,2.10E-03,-7.84E-02,-8.67E-05
9.174,-0.107,2.33E-03,-7.46E-02,-5.30E-04
9.224,-0.108,2.51E-03,-6.93E-02,-7.32E-04
9.275,-0.107,2.17E-03,-6.16E-02,-8.97E-04
9.325,-0.102,1.62E-03,-5.30E-02,-1.37E-03
9.375,-9.54E-02,8.47E-04,-4.34E-02,-1.75E-03
9.426,-8.65E-02,5.78E-04,-3.23E-02,-1.96E-03
9.476,-7.60E-02,-5.20E-04,-2.07E-02,-1.83E-03
9.527,-6.32E-02,-1.10E-03,-8.99E-03,-1.94E-03
9.577,-4.91E-02,-1.98E-03,2.91E-03,-1.57E-03
9.627,-3.33E-02,-2.58E-03,1.50E-02,-1.58E-03
9.678,-1.72E-02,-2.91E-03,2.65E-02,-9.84E-04
9.728,-3.97E-04,-2.96E-03,3.76E-02,-5.88E-04
9.779,1.63E-02,-2.88E-03,4.71E-02,1.35E-05
9.829,3.31E-02,-2.33E-03,5.63E-02,3.80E-04
9.879,4.93E-02,-1.84E-03,6.33E-02,1.18E-03
9.93,6.36E-02,-9.83E-04,6.90E-02,1.64E-03
9.98,7.67E-02,1.14E-04,7.25E-02,2.01E-03
10.031,8.78E-02,8.90E-04,7.44E-02,2.21E-03
10.081,9.66E-02,1.72E-03,7.50E-02,2.34E-03
10.131,0.103,1.96E-03,7.39E-02,2.02E-03
10.182,0.107,2.44E-03,7.10E-02,1.83E-03
10.232,0.109,2.84E-03,6.60E-02,1.58E-03
10.283,0.108,2.82E-03,5.97E-02,8.95E-04
10.333,0.105,2.70E-03,5.21E-02,2.63E-04
10.383,9.90E-02,2.15E-03,4.31E-02,-5.62E-05
10.434,9.04E-02,1.14E-03,3.32E-02,-6.90E-04
10.484,7.94E-02,5.37E-04,2.21E-02,-1.23E-03
10.535,6.71E-02,-4.92E-04,1.02E-02,-1.67E-03
10.585,5.20E-02,-1.28E-03,-1.19E-03,-1.96E-03
10.636,3.63E-02,-2.18E-03,-1.25E-02,-1.96E-03
10.686,1.93E-02,-2.45E-03,-2.38E-02,-1.85E-03
10.736,1.92E-03,-2.48E-03,-3.32E-02,-2.06E-03
10.787,-1.56E-02,-2.54E-03,-4.33E-02,-1.67E-03
10.837,-3.23E-02,-1.97E-03,-5.19E-02,-1.56E-03
10.888,-4.83E-02,-1.39E-03,-5.90E-02,-1.28E-03
10.938,-6.27E-02,-1.24E-03,-6.48E-02,-1.07E-03
10.988,-7.64E-02,-2.64E-04,-6.88E-02,-5.65E-04
11.039,-8.85E-02,8.43E-04,-7.12E-02,-4.86E-04
11.089,-9.80E-02,1.76E-03,-7.19E-02,-5.85E-04
11.14,-0.106,2.23E-03,-7.13E-02,-5.00E-04
11.19,-0.11,3.00E-03,-6.83E-02,-7.27E-04
11.24,-0.113,3.23E-03,-6.39E-02,-9.15E-04
11.291,-0.113,3.28E-03,-5.78E-02,-9.24E-04
11.341,-0.11,3.03E-03,-5.05E-02,-1.52E-03
11.392,-0.104,2.28E-03,-4.19E-02,-1.64E-03
11.442,-9.56E-02,1.40E-03,-3.26E-02,-1.82E-03
11.492,-8.54E-02,8.55E-04,-2.25E-02,-1.76E-03
11.543,-7.29E-02,-5.21E-04,-1.19E-02,-1.98E-03
11.593,-5.88E-02,-1.31E-03,-1.16E-03,-2.04E-03
11.644,-4.33E-02,-1.95E-03,9.46E-03,-1.73E-03
11.694,-2.65E-02,-2.85E-03,1.97E-02,-1.49E-03
11.744,-9.38E-03,-2.77E-03,2.95E-02,-9.71E-04
11.795,7.78E-03,-2.84E-03,3.89E-02,-5.41E-04
11.845,2.52E-02,-2.62E-03,4.71E-02,7.13E-05
11.896,4.23E-02,-1.95E-03,5.39E-02,6.19E-04
11.946,5.78E-02,-8.39E-04,5.95E-02,1.05E-03
11.996,7.24E-02,-2.38E-04,6.33E-02,1.07E-03
12.047,8.53E-02,6.17E-04,6.60E-02,1.34E-03
12.097,9.58E-02,1.54E-03,6.67E-02,1.40E-03
12.148,0.104,2.49E-03,6.63E-02,1.37E-03
12.198,0.11,3.18E-03,6.45E-02,1.13E-03
12.248,0.113,3.20E-03,6.06E-02,1.01E-03
12.299,0.113,3.28E-03,5.56E-02,3.27E-04
12.349,0.111,3.31E-03,4.93E-02,3.08E-04
12.4,0.107,2.59E-03,4.16E-02,-1.78E-04
12.45,9.90E-02,1.89E-03,3.31E-02,-3.80E-04
12.5,8.84E-02,1.17E-03,2.41E-02,-1.28E-03
12.551,7.58E-02,1.38E-04,1.40E-02,-1.53E-03
12.601,6.22E-02,-7.62E-04,3.72E-03,-1.82E-03
12.652,4.63E-02,-1.96E-03,-6.09E-03,-2.17E-03
12.702,2.87E-02,-2.14E-03,-1.62E-02,-1.87E-03
12.753,1.14E-02,-2.81E-03,-2.52E-02,-1.89E-03
12.803,-6.57E-03,-2.59E-03,-3.41E-02,-1.98E-03
12.853,-2.48E-02,-2.54E-03,-4.23E-02,-1.75E-03
12.904,-4.10E-02,-1.83E-03,-4.87E-02,-1.65E-03
12.954,-5.82E-02,-1.06E-03,-5.44E-02,-1.25E-03
13.005,-7.29E-02,-4.31E-04,-5.84E-02,-1.29E-03
13.055,-8.59E-02,7.34E-04,-6.14E-02,-1.38E-03
13.105,-9.71E-02,1.82E-03,-6.25E-02,-1.60E-03
13.156,-0.106,2.28E-03,-6.24E-02,-1.46E-03
13.206,-0.112,3.32E-03,-6.09E-02,-1.58E-03
13.257,-0.117,3.68E-03,-5.77E-02,-1.66E-03
13.307,-0.118,3.56E-03,-5.33E-02,-1.84E-03
13.357,-0.116,3.48E-03,-4.75E-02,-2.07E-03
13.408,-0.111,2.93E-03,-4.04E-02,-2.13E-03
13.458,-0.104,2.04E-03,-3.27E-02,-2.07E-03
13.509,-9.45E-02,1.12E-03,-2.38E-02,-2.24E-03
13.559,-8.25E-02,5.85E-04,-1.51E-02,-2.23E-03
13.609,-6.84E-02,-1.12E-03,-6.20E-03,-1.98E-03
13.66,-5.24E-02,-1.68E-03,3.68E-03,-1.96E-03
13.71,-3.67E-02,-2.47E-03,1.22E-02,-1.83E-03
13.761,-1.84E-02,-2.88E-03,2.14E-02,-1.39E-03
13.811,5.85E-04,-3.01E-03,2.97E-02,-1.21E-03
13.861,1.80E-02,-2.76E-03,3.70E-02,-5.97E-04
13.912,3.55E-02,-2.61E-03,4.35E-02,-2.27E-04
13.962,5.28E-02,-1.45E-03,4.90E-02,1.62E-05
14.013,6.87E-02,-5.54E-04,5.31E-02,2.05E-04
14.063,8.34E-02,3.15E-04,5.61E-02,2.05E-04
14.113,9.47E-02,1.25E-03,5.77E-02,3.50E-04
14.164,0.104,2.07E-03,5.83E-02,4.99E-04
14.214,0.112,2.98E-03,5.74E-02,6.44E-04
14.265,0.116,3.70E-03,5.49E-02,7.16E-04
