,Right Mass,,Left Mass,
t,x,y,x,y
41.685,-7.13E-02,-5.64E-04,-7.64E-02,-4.88E-04
41.736,-7.98E-02,1.12E-04,-8.39E-02,-1.22E-04
41.786,-8.60E-02,6.00E-04,-8.95E-02,3.17E-04
41.836,-9.04E-02,9.19E-04,-9.27E-02,5.53E-04
41.887,-9.28E-02,1.02E-03,-9.37E-02,7.53E-04
41.937,-9.31E-02,1.16E-03,-9.25E-02,6.79E-04
41.988,-9.14E-02,8.08E-04,-8.90E-02,4.29E-04
42.038,-8.71E-02,6.40E-04,-8.30E-02,2.53E-04
42.088,-8.09E-02,-3.94E-05,-7.48E-02,-5.06E-04
42.139,-7.26E-02,-5.54E-04,-6.51E-02,-1.15E-03
42.189,-6.31E-02,-6.16E-04,-5.40E-02,-1.31E-03
42.24,-5.24E-02,-1.49E-03,-4.17E-02,-1.78E-03
42.29,-3.94E-02,-2.33E-03,-2.83E-02,-2.00E-03
42.34,-2.60E-02,-2.75E-03,-1.37E-02,-1.95E-03
42.391,-1.23E-02,-2.99E-03,8.09E-04,-1.98E-03
42.441,1.76E-03,-3.12E-03,1.58E-02,-1.51E-03
42.492,1.64E-02,-2.70E-03,3.01E-02,-7.25E-04
42.542,3.03E-02,-2.53E-03,4.42E-02,2.35E-04
42.592,4.35E-02,-2.13E-03,5.65E-02,8.66E-04
42.643,5.51E-02,-1.12E-03,6.70E-02,1.47E-03
42.693,6.61E-02,-1.15E-03,7.62E-02,2.21E-03
42.744,7.51E-02,-3.82E-04,8.35E-02,2.98E-03
42.794,8.22E-02,8.67E-05,8.88E-02,3.70E-03
42.844,8.76E-02,5.29E-04,9.19E-02,4.15E-03
42.895,9.06E-02,9.76E-04,9.28E-02,4.16E-03
42.945,9.18E-02,9.06E-04,9.19E-02,3.87E-03
42.996,9.11E-02,9.98E-04,8.85E-02,3.50E-03
43.046,8.84E-02,4.83E-04,8.29E-02,3.12E-03
43.096,8.28E-02,-7.35E-07,7.50E-02,2.22E-03
43.147,7.58E-02,-2.63E-04,6.58E-02,1.39E-03
43.197,6.65E-02,-1.20E-03,5.48E-02,5.33E-04
43.248,5.61E-02,-1.56E-03,4.23E-02,-3.19E-04
43.298,4.32E-02,-2.42E-03,2.88E-02,-8.20E-04
43.348,3.04E-02,-2.76E-03,1.44E-02,-1.54E-03
43.399,1.66E-02,-2.91E-03,-7.39E-05,-1.81E-03
43.449,1.94E-03,-3.15E-03,-1.39E-02,-2.02E-03
43.5,-1.25E-02,-3.06E-03,-2.85E-02,-1.94E-03
43.55,-2.65E-02,-2.71E-03,-4.17E-02,-2.07E-03
43.601,-3.96E-02,-1.91E-03,-5.41E-02,-1.62E-03
43.651,-5.23E-02,-1.69E-03,-6.48E-02,-1.10E-03
43.701,-6.36E-02,-9.31E-04,-7.42E-02,-7.44E-04
43.752,-7.36E-02,-3.11E-04,-8.18E-02,-3.12E-04
43.802,-8.18E-02,5.60E-04,-8.73E-02,1.45E-04
43.853,-8.82E-02,8.26E-04,-9.03E-02,3.43E-04
43.903,-9.25E-02,1.49E-03,-9.17E-02,6.97E-04
43.953,-9.47E-02,1.88E-03,-9.07E-02,5.43E-04
44.004,-9.46E-02,1.96E-03,-8.72E-02,3.40E-04
44.054,-9.27E-02,1.41E-03,-8.12E-02,-6.52E-05
44.105,-8.81E-02,9.41E-04,-7.34E-02,-4.17E-04
44.155,-8.13E-02,1.23E-04,-6.41E-02,-9.94E-04
44.205,-7.31E-02,-2.68E-04,-5.32E-02,-1.17E-03
44.256,-6.28E-02,-1.29E-03,-4.09E-02,-1.83E-03
44.306,-5.14E-02,-1.45E-03,-2.75E-02,-1.93E-03
44.357,-3.83E-02,-2.32E-03,-1.37E-02,-1.71E-03
44.407,-2.49E-02,-2.57E-03,7.44E-04,-1.45E-03
44.457,-1.07E-02,-3.11E-03,1.51E-02,-1.42E-03
44.508,3.97E-03,-2.85E-03,2.88E-02,-9.02E-04
44.558,1.92E-02,-2.87E-03,4.19E-02,-2.29E-04
44.609,3.28E-02,-2.38E-03,5.38E-02,5.64E-04
44.659,4.65E-02,-1.87E-03,6.43E-02,1.51E-03
44.709,5.89E-02,-1.17E-03,7.33E-02,2.15E-03
44.76,6.94E-02,-9.42E-04,8.03E-02,3.01E-03
44.81,7.84E-02,-8.87E-05,8.53E-02,3.53E-03
44.861,8.57E-02,6.63E-04,8.83E-02,3.86E-03
44.911,9.09E-02,1.37E-03,8.94E-02,3.79E-03
44.961,9.42E-02,1.65E-03,8.87E-02,3.55E-03
45.012,9.51E-02,1.50E-03,8.53E-02,3.38E-03
45.062,9.38E-02,1.56E-03,8.05E-02,2.88E-03
45.113,9.01E-02,1.33E-03,7.30E-02,1.92E-03
45.163,8.43E-02,9.05E-04,6.40E-02,1.29E-03
45.213,7.66E-02,-6.09E-05,5.37E-02,4.84E-04
45.264,6.70E-02,-5.70E-04,4.15E-02,-2.33E-04
45.314,5.51E-02,-1.05E-03,2.88E-02,-8.84E-04
45.365,4.24E-02,-2.11E-03,1.47E-02,-1.34E-03
45.415,2.83E-02,-2.62E-03,1.32E-03,-1.91E-03
45.466,1.37E-02,-2.92E-03,-1.24E-02,-1.98E-03
45.516,-1.32E-03,-2.91E-03,-2.63E-02,-1.99E-03
45.566,-1.60E-02,-3.00E-03,-3.86E-02,-1.91E-03
45.617,-3.00E-02,-2.84E-03,-5.04E-02,-1.48E-03
45.667,-4.50E-02,-1.93E-03,-6.14E-02,-1.08E-03
45.718,-5.71E-02,-1.73E-03,-7.03E-02,-5.77E-04
45.768,-6.87E-02,-8.60E-04,-7.79E-02,-2.47E-05
45.818,-7.83E-02,-2.19E-04,-8.33E-02,1.28E-04
45.869,-8.65E-02,5.34E-04,-8.69E-02,3.45E-04
45.919,-9.27E-02,8.55E-04,-8.76E-02,6.71E-04
45.97,-9.69E-02,1.22E-03,-8.69E-02,6.53E-04
46.02,-9.85E-02,1.30E-03,-8.36E-02,3.73E-04
46.07,-9.82E-02,1.31E-03,-7.81E-02,3.98E-04
46.121,-9.56E-02,7.35E-04,-7.11E-02,-9.48E-05
46.171,-9.03E-02,3.86E-04,-6.23E-02,-5.95E-04
46.222,-8.31E-02,-1.55E-04,-5.19E-02,-8.96E-04
46.272,-7.41E-02,-8.58E-04,-4.06E-02,-1.01E-03
46.322,-6.34E-02,-1.66E-03,-2.78E-02,-1.34E-03
46.373,-5.17E-02,-1.91E-03,-1.48E-02,-1.23E-03
46.423,-3.75E-02,-2.73E-03,-9.50E-04,-1.43E-03
46.474,-2.30E-02,-2.97E-03,1.27E-02,-1.22E-03
46.524,-7.99E-03,-3.08E-03,2.56E-02,-5.53E-04
46.574,7.24E-03,-2.89E-03,3.83E-02,-1.27E-04
46.625,2.26E-02,-2.56E-03,4.93E-02,6.80E-04
46.675,3.68E-02,-2.27E-03,5.97E-02,1.13E-03
46.726,5.08E-02,-1.47E-03,6.84E-02,1.86E-03
46.776,6.35E-02,-4.54E-04,7.53E-02,2.57E-03
46.826,7.45E-02,1.34E-04,8.03E-02,3.23E-03
46.877,8.36E-02,5.93E-04,8.34E-02,3.49E-03
46.927,9.07E-02,1.14E-03,8.47E-02,3.58E-03
46.978,9.54E-02,1.86E-03,8.41E-02,3.65E-03
47.028,9.80E-02,2.16E-03,8.13E-02,3.28E-03
47.078,9.86E-02,2.00E-03,7.63E-02,2.76E-03
47.129,9.68E-02,1.89E-03,6.99E-02,2.24E-03
47.179,9.28E-02,1.80E-03,6.15E-02,1.08E-03
47.23,8.60E-02,1.12E-03,5.22E-02,5.48E-04
47.28,7.71E-02,1.32E-04,4.07E-02,-1.52E-04
47.331,6.69E-02,-8.23E-04,2.87E-02,-8.62E-04
47.381,5.45E-02,-9.17E-04,1.60E-02,-1.46E-03
47.431,4.13E-02,-1.76E-03,2.89E-03,-1.42E-03
47.482,2.58E-02,-2.62E-03,-1.01E-02,-2.08E-03
47.532,1.01E-02,-2.72E-03,-2.29E-02,-1.98E-03
47.583,-5.02E-03,-3.10E-03,-3.47E-02,-1.71E-03
47.633,-2.09E-02,-2.84E-03,-4.62E-02,-1.39E-03
47.683,-3.54E-02,-2.66E-03,-5.60E-02,-1.41E-03
47.734,-5.00E-02,-1.99E-03,-6.48E-02,-8.49E-04
47.784,-6.28E-02,-1.30E-03,-7.21E-02,-4.90E-04
47.835,-7.43E-02,-7.34E-04,-7.72E-02,-1.44E-04
47.885,-8.40E-02,4.43E-05,-8.05E-02,1.61E-04
47.935,-9.22E-02,8.80E-04,-8.18E-02,-2.06E-05
47.986,-9.77E-02,1.16E-03,-8.10E-02,-1.34E-05
48.036,-0.101,1.53E-03,-7.82E-02,-2.95E-04
48.087,-0.103,1.91E-03,-7.33E-02,-6.09E-04
48.137,-0.102,1.68E-03,-6.68E-02,-9.22E-04
48.187,-9.78E-02,1.26E-03,-5.84E-02,-1.20E-03
48.238,-9.19E-02,5.78E-04,-4.83E-02,-1.63E-03
48.288,-8.34E-02,-3.81E-06,-3.79E-02,-1.81E-03
48.339,-7.39E-02,-8.45E-04,-2.68E-02,-2.07E-03
48.389,-6.18E-02,-1.43E-03,-1.50E-02,-2.12E-03
48.439,-4.89E-02,-1.84E-03,-2.00E-03,-1.73E-03
48.49,-3.43E-02,-2.09E-03,1.05E-02,-1.74E-03
48.54,-1.87E-02,-2.77E-03,2.27E-02,-1.13E-03
48.591,-2.63E-03,-3.06E-03,3.48E-02,-6.20E-04
48.641,1.31E-02,-2.73E-03,4.54E-02,-2.16E-04
48.691,2.89E-02,-2.04E-03,5.50E-02,4.35E-04
48.742,4.35E-02,-2.00E-03,6.30E-02,1.16E-03
48.792,5.80E-02,-6.40E-04,7.01E-02,1.72E-03
48.843,7.07E-02,1.69E-04,7.45E-02,2.22E-03
48.893,8.16E-02,5.81E-04,7.76E-02,2.59E-03
48.943,9.04E-02,2.00E-03,7.87E-02,2.72E-03
48.994,9.70E-02,2.30E-03,7.84E-02,2.53E-03
49.044,0.101,2.37E-03,7.61E-02,2.19E-03
49.095,0.103,2.70E-03,7.17E-02,1.78E-03
49.145,0.103,2.61E-03,6.61E-02,1.53E-03
49.196,9.99E-02,2.04E-03,5.88E-02,6.76E-04
49.246,9.45E-02,1.75E-03,4.98E-02,2.75E-04
49.296,8.66E-02,1.30E-03,3.99E-02,-2.70E-04
49.347,7.66E-02,1.93E-04,2.87E-02,-9.03E-04
49.397,6.54E-02,-9.21E-04,1.72E-02,-1.27E-03
49.448,5.10E-02,-1.51E-03,5.55E-03,-1.67E-03
49.498,3.68E-02,-2.19E-03,-6.48E-03,-1.92E-03
49.548,2.09E-02,-2.60E-03,-1.81E-02,-1.86E-03
49.599,4.75E-03,-2.86E-03,-3.00E-02,-1.93E-03
49.649,-1.10E-02,-2.85E-03,-4.00E-02,-1.65E-03
49.7,-2.77E-02,-2.85E-03,-4.97E-02,-1.29E-03
49.75,-4.34E-02,-2.28E-03,-5.82E-02,-1.42E-03
49.8,-5.75E-02,-1.90E-03,-6.51E-02,-9.08E-04
49.851,-7.11E-02,-8.64E-04,-6.98E-02,-4.50E-04
49.901,-8.22E-02,-3.13E-04,-7.35E-02,-3.48E-04
49.952,-9.13E-02,7.45E-04,-7.50E-02,-3.24E-04
50.002,-9.91E-02,1.52E-03,-7.44E-02,-3.81E-04
50.052,-0.104,1.98E-03,-7.26E-02,-3.28E-04
50.103,-0.106,2.27E-03,-6.86E-02,-6.57E-04
50.153,-0.107,2.34E-03,-6.26E-02,-9.11E-04
50.204,-0.105,2.02E-03,-5.56E-02,-1.13E-03
50.254,-0.1,1.58E-03,-4.75E-02,-1.58E-03
50.304,-9.29E-02,9.24E-04,-3.74E-02,-1.86E-03
50.355,-8.35E-02,1.13E-04,-2.71E-02,-2.00E-03
50.405,-7.28E-02,-5.99E-04,-1.61E-02,-1.96E-03
50.456,-5.92E-02,-1.72E-03,-5.27E-03,-1.93E-03
50.506,-4.48E-02,-1.87E-03,6.03E-03,-1.71E-03
50.556,-2.93E-02,-2.52E-03,1.69E-02,-1.43E-03
50.607,-1.26E-02,-2.79E-03,2.78E-02,-8.77E-04
50.657,3.58E-03,-3.00E-03,3.76E-02,-4.65E-04
50.708,2.02E-02,-2.56E-03,4.71E-02,1.44E-04
50.758,3.67E-02,-1.91E-03,5.47E-02,5.86E-04
50.808,5.21E-02,-1.42E-03,6.09E-02,1.04E-03
50.859,6.59E-02,-1.84E-04,6.59E-02,1.42E-03
50.909,7.88E-02,7.86E-04,6.93E-02,1.61E-03
50.96,8.87E-02,9.78E-04,7.06E-02,1.72E-03
51.01,9.72E-02,1.83E-03,7.08E-02,2.06E-03
51.06,0.103,2.64E-03,6.91E-02,1.96E-03
51.111,0.106,2.73E-03,6.61E-02,1.71E-03
51.161,0.107,3.02E-03,6.10E-02,1.56E-03
51.212,0.106,2.86E-03,5.49E-02,8.63E-04
51.262,0.101,2.68E-03,4.71E-02,4.31E-04
51.313,9.47E-02,1.97E-03,3.85E-02,1.94E-06
51.363,8.56E-02,9.29E-04,2.84E-02,-6.70E-04
51.413,7.43E-02,-2.76E-04,1.88E-02,-8.77E-04
51.464,6.09E-02,-1.05E-03,8.32E-03,-1.18E-03
51.514,4.62E-02,-1.55E-03,-2.28E-03,-1.63E-03
51.565,3.03E-02,-2.67E-03,-1.32E-02,-1.76E-03
51.615,1.43E-02,-2.94E-03,-2.40E-02,-1.81E-03
51.665,-3.19E-03,-3.39E-03,-3.36E-02,-1.74E-03
51.716,-2.10E-02,-3.31E-03,-4.24E-02,-1.68E-03
51.766,-3.69E-02,-2.64E-03,-5.00E-02,-1.49E-03
51.817,-5.27E-02,-1.79E-03,-5.63E-02,-1.25E-03
51.867,-6.65E-02,-1.61E-03,-6.15E-02,-1.16E-03
51.917,-7.91E-02,-5.23E-04,-6.48E-02,-1.02E-03
51.968,-9.04E-02,5.64E-04,-6.67E-02,-1.16E-03
52.018,-9.91E-02,1.70E-03,-6.70E-02,-9.58E-04
52.069,-0.106,2.17E-03,-6.58E-02,-1.13E-03
52.119,-0.109,2.64E-03,-6.30E-02,-1.31E-03
52.169,-0.111,2.98E-03,-5.85E-02,-1.52E-03
52.22,-0.11,2.78E-03,-5.26E-02,-1.64E-03
52.27,-0.106,2.42E-03,-4.54E-02,-2.00E-03
52.321,-0.1,1.57E-03,-3.79E-02,-2.08E-03
52.371,-9.18E-02,1.13E-03,-2.85E-02,-2.17E-03
52.421,-8.11E-02,2.04E-05,-1.89E-02,-2.20E-03
52.472,-6.80E-02,-6.41E-04,-8.95E-03,-2.09E-03
52.522,-5.43E-02,-1.65E-03,1.34E-03,-1.88E-03
52.573,-3.88E-02,-1.93E-03,1.08E-02,-1.58E-03
52.623,-2.24E-02,-2.75E-03,2.07E-02,-1.32E-03
52.673,-4.54E-03,-2.66E-03,2.96E-02,-9.68E-04
52.724,1.30E-02,-2.85E-03,3.82E-02,-3.13E-04
52.774,3.02E-02,-2.15E-03,4.55E-02,6.77E-05
52.825,4.58E-02,-1.32E-03,5.16E-02,4.41E-04
52.875,6.12E-02,-7.25E-04,5.65E-02,7.91E-04
52.925,7.49E-02,8.97E-05,6.02E-02,1.15E-03
52.976,8.72E-02,1.10E-03,6.22E-02,1.22E-03
53.026,9.64E-02,1.86E-03,6.27E-02,1.28E-03
53.077,0.104,2.74E-03,6.21E-02,1.20E-03
53.127,0.109,3.32E-03,5.98E-02,9.32E-04
53.178,0.111,3.83E-03,5.60E-02,6.87E-04
